Map 6.8,,,
"Employee jobs, by ward",,,
,,,Numbers
Ward,Code,Borough,Employees
,,,
WormholtandWhiteCity,00ANGR,Hammersmith and Fulham,"2,795"
Alexandra,00APGA,Haringey,"1,542"
BoundsGreen,00APGB,Haringey,"2,189"
BruceGrove,00APGC,Haringey,"2,095"
CrouchEnd,00APGD,Haringey,"3,117"
FortisGreen,00APGE,Haringey,"2,911"
Harringay,00APGF,Haringey,"2,162"
Highgate,00APGG,Haringey,"2,573"
Hornsey,00APGH,Haringey,"3,005"
MuswellHill,00APGJ,Haringey,"2,760"
NoelPark,00APGK,Haringey,"5,915"
NorthumberlandPark,00APGL,Haringey,"7,350"
StAnn's,00APGM,Haringey,"2,850"
SevenSisters,00APGN,Haringey,"2,762"
StroudGreen,00APGP,Haringey,"1,065"
TottenhamGreen,00APGQ,Haringey,"4,964"
TottenhamHale,00APGR,Haringey,"6,756"
WestGreen,00APGS,Haringey,"1,775"
WhiteHartLane,00APGT,Haringey,"1,273"
Woodside,00APGU,Haringey,"4,622"
Belmont,00AQFY,Harrow,"1,290"
Canons,00AQFZ,Harrow,"4,139"
Edgware,00AQGA,Harrow,"1,843"
Greenhill,00AQGB,Harrow,"17,954"
HarrowontheHill,00AQGC,Harrow,"4,270"
HarrowWeald,00AQGD,Harrow,"2,729"
HatchEnd,00AQGE,Harrow,"2,147"
HeadstoneNorth,00AQGF,Harrow,"1,507"
HeadstoneSouth,00AQGG,Harrow,"1,655"
KentonEast,00AQGH,Harrow,"1,282"
KentonWest,00AQGJ,Harrow,"2,989"
Marlborough,00AQGK,Harrow,"3,371"
Pinner,00AQGL,Harrow,"2,999"
PinnerSouth,00AQGM,Harrow,"1,486"
Queensbury,00AQGN,Harrow,"1,311"
RaynersLane,00AQGP,Harrow,"1,594"
Roxbourne,00AQGQ,Harrow,"4,199"
Roxeth,00AQGR,Harrow,"1,250"
StanmorePark,00AQGS,Harrow,"3,261"
Wealdstone,00AQGT,Harrow,"2,215"
WestHarrow,00AQGU,Harrow,"2,391"
Brooklands,00ARGC,Havering,"5,346"
Cranham,00ARGD,Havering,"1,292"
ElmPark,00ARGE,Havering,953
EmersonPark,00ARGF,Havering,"1,792"
Gooshays,00ARGG,Havering,"2,007"
Hacton,00ARGH,Havering,"2,552"
HaroldWood,00ARGJ,Havering,"5,502"
HaveringPark,00ARGK,Havering,"1,369"
Heaton,00ARGL,Havering,"2,272"
Hylands,00ARGM,Havering,"3,753"
Mawneys,00ARGN,Havering,"1,696"
Pettits,00ARGP,Havering,"1,861"
RainhamandWennington,00ARGQ,Havering,"4,451"
RomfordTown,00ARGR,Havering,"18,240"
StAndrew's,00ARGS,Havering,"4,967"
SouthHornchurch,00ARGT,Havering,"4,595"
Squirrel'sHeath,00ARGU,Havering,"2,342"
Upminster,00ARGW,Havering,"4,029"
Barnhill,00ASGG,Hillingdon,"1,322"
Botwell,00ASGH,Hillingdon,"13,276"
Brunel,00ASGJ,Hillingdon,"8,607"
Cavendish,00ASGK,Hillingdon,"1,986"
Charville,00ASGL,Hillingdon,"1,942"
EastcoteandEastRuislip,00ASGM,Hillingdon,"2,137"
Harefield,00ASGN,Hillingdon,"3,556"
HeathrowVillages,00ASGP,Hillingdon,"86,577"
HillingdonEast,00ASGQ,Hillingdon,"2,759"
Ickenham,00ASGR,Hillingdon,"1,710"
Manor,00ASGS,Hillingdon,"1,711"
Northwood,00ASGT,Hillingdon,"4,323"
NorthwoodHills,00ASGU,Hillingdon,"1,654"
Pinkwell,00ASGW,Hillingdon,"1,387"
SouthRuislip,00ASGX,Hillingdon,"5,160"
Townfield,00ASGY,Hillingdon,"6,431"
UxbridgeNorth,00ASGZ,Hillingdon,"9,314"
UxbridgeSouth,00ASHA,Hillingdon,"16,764"
WestDrayton,00ASHB,Hillingdon,"3,078"
WestRuislip,00ASHC,Hillingdon,"3,602"
Yeading,00ASHD,Hillingdon,"1,353"
Yiewsley,00ASHE,Hillingdon,"8,709"
Bedfont,00ATFY,Hounslow,"6,728"
Brentford,00ATFZ,Hounslow,"9,435"
ChiswickHomefields,00ATGA,Hounslow,"5,619"
ChiswickRiverside,00ATGB,Hounslow,"1,748"
Cranford,00ATGC,Hounslow,"7,067"
FelthamNorth,00ATGD,Hounslow,"6,324"
FelthamWest,00ATGE,Hounslow,"4,521"
Hanworth,00ATGF,Hounslow,"3,813"
HanworthPark,00ATGG,Hounslow,"6,979"
HestonCentral,00ATGH,Hounslow,"2,452"
HestonEast,00ATGJ,Hounslow,"3,684"
HestonWest,00ATGK,Hounslow,"4,732"
HounslowCentral,00ATGL,Hounslow,"9,663"
HounslowHeath,00ATGM,Hounslow,"3,667"
HounslowSouth,00ATGN,Hounslow,825
HounslowWest,00ATGP,Hounslow,"6,015"
Isleworth,00ATGQ,Hounslow,"3,921"
OsterleyandSpringGrove,00ATGR,Hounslow,"10,359"
Syon,00ATGS,Hounslow,"7,851"
TurnhamGreen,00ATGT,Hounslow,"13,275"
Barnsbury,00AUFX,Islington,"5,405"
Bunhill,00AUFY,Islington,"58,869"
Caledonian,00AUFZ,Islington,"9,769"
Canonbury,00AUGA,Islington,"1,247"
Clerkenwell,00AUGB,Islington,"53,380"
FinsburyPark,00AUGC,Islington,"9,918"
HighburyEast,00AUGD,Islington,"2,796"
HighburyWest,00AUGE,Islington,"3,974"
Hillrise,00AUGF,Islington,"1,617"
Holloway,00AUGG,Islington,"3,414"
Junction,00AUGH,Islington,"11,842"
Mildmay,00AUGJ,Islington,"1,553"
StGeorge's,00AUGK,Islington,"2,089"
StMary's,00AUGL,Islington,"9,358"
StPeter's,00AUGM,Islington,"6,809"
Tollington,00AUGN,Islington,"1,999"
Abingdon,00AWFY,Kensington and Chelsea,"7,605"
Brompton,00AWFZ,Kensington and Chelsea,"16,567"
Campden,00AWGA,Kensington and Chelsea,"6,622"
Colville,00AWGB,Kensington and Chelsea,"3,561"
Courtfield,00AWGC,Kensington and Chelsea,"4,661"
Cremorne,00AWGD,Kensington and Chelsea,"2,709"
Earl'sCourt,00AWGE,Kensington and Chelsea,"4,393"
Golborne,00AWGF,Kensington and Chelsea,"5,162"
HansTown,00AWGG,Kensington and Chelsea,"7,563"
Holland,00AWGH,Kensington and Chelsea,"2,679"
Norland,00AWGJ,Kensington and Chelsea,"3,813"
NottingBarns,00AWGK,Kensington and Chelsea,"4,143"
Pembridge,00AWGL,Kensington and Chelsea,"3,706"
Queen'sGate,00AWGM,Kensington and Chelsea,"9,570"
Redcliffe,00AWGN,Kensington and Chelsea,"2,511"
RoyalHospital,00AWGP,Kensington and Chelsea,"4,907"
StCharles,00AWGQ,Kensington and Chelsea,"3,167"
Stanley,00AWGR,Kensington and Chelsea,"13,412"
Alexandra,00AXFX,Kingston upon Thames,"2,237"
Berrylands,00AXFY,Kingston upon Thames,"1,679"
Beverley,00AXFZ,Kingston upon Thames,"11,329"
Canbury,00AXGA,Kingston upon Thames,"3,721"
ChessingtonNorthandHook,00AXGB,Kingston upon Thames,"2,369"
ChessingtonSouth,00AXGC,Kingston upon Thames,"3,203"
CoombeHill,00AXGD,Kingston upon Thames,"5,606"
CoombeVale,00AXGE,Kingston upon Thames,"3,732"
Grove,00AXGF,Kingston upon Thames,"23,271"
Norbiton,00AXGG,Kingston upon Thames,"2,734"
OldMalden,00AXGH,Kingston upon Thames,841
StJames,00AXGJ,Kingston upon Thames,"1,272"
StMark's,00AXGK,Kingston upon Thames,"4,161"
SurbitonHill,00AXGL,Kingston upon Thames,"2,075"
TolworthandHookRise,00AXGM,Kingston upon Thames,"4,658"
Tudor,00AXGN,Kingston upon Thames,"1,507"
Bishop's,00AYFZ,Lambeth,"31,039"
BrixtonHill,00AYGA,Lambeth,"5,748"
ClaphamCommon,00AYGB,Lambeth,"8,287"
ClaphamTown,00AYGC,Lambeth,"5,954"
Coldharbour,00AYGD,Lambeth,"3,795"
Ferndale,00AYGE,Lambeth,"4,166"
GipsyHill,00AYGF,Lambeth,"1,669"
HerneHill,00AYGG,Lambeth,"9,112"
Knight'sHill,00AYGH,Lambeth,"2,241"
Larkhall,00AYGJ,Lambeth,"3,652"
Oval,00AYGK,Lambeth,"10,652"
Prince's,00AYGL,Lambeth,"11,132"
StLeonard's,00AYGM,Lambeth,"3,802"
Stockwell,00AYGN,Lambeth,"2,739"
StreathamHill,00AYGP,Lambeth,"1,735"
StreathamSouth,00AYGQ,Lambeth,"1,280"
StreathamWells,00AYGR,Lambeth,"4,434"
Thornton,00AYGS,Lambeth,"1,153"
